,Crop,Stage,Disease Name,Pathogen Type,Favorable Weather Conditions,Symptoms at This Stage,Why This Stage is Vulnerable,Preventive Measures,Monitoring Indicators,NDVI,EVI,SAVI,NDRE,LAI,NDWI,NDMI,RSM,RVI,VARI,SOC,AVI,BSI,SI,VSSI,Crop_enc,Stage_enc,Disease_enc
10,corn,germination,seed corn maggot,Pest (Larvae),"Cool, wet soils; fields with heavy organic matter or manure","Seeds hollowed, missing, or fail to sprout",Slow germination due to low GDD exposes seeds longer to larval feeding,Avoid fresh manure; insecticide-treated seeds; good tillage,Pest trap counts; high soil organic matter; NDVI emergence gaps,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,181
11,corn,germination,stewart’s wilt (early infection),Bacteria,Warm early temperatures; flea beetle presence,Symptoms not visible yet; infection begins when beetles feed on seedlings,Germinating seedlings have soft tissues easily penetrated by beetles,Control flea beetles; resistant hybrids; antibacterial seed treatment,Flea beetle counts; warm early-season weather; slight NDVI suppression,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,213
12,corn,emergence(ve),pythium damping-off,Fungus (Oomycete),"Cool, wet soils; soil temp <18°C; prolonged moisture","Seedlings collapse at soil line, water-soaked stems, pale emerging shoots","Low GDD (~10) slows emergence, keeping hypocotyl and mesocotyl exposed to infection",Treated seeds; avoid waterlogging; sow at optimal soil temps,Soil moisture >70%; cloudy/rainy days; NDVI weak emergence patches,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,156
13,corn,emergence(ve),rhizoctonia root rot,Fungus,Moist soils; warm days + cool nights,Sunken brown lesions on coleoptile or roots; uneven stands,Young roots are still forming; soil fungi attack tender tissues during emergence,"Seed treatment; avoid planting in cold, compacted soil; ensure good aeration",Soil crusting; patchy emergence in NDVI; fluctuating soil temps,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,165
14,corn,emergence(ve),fusarium seedling blight,Fungus,Moderate moisture; fluctuating soil temperature,"Stunted VE seedlings, pale leaves, brown root discoloration",Fusarium infects slow-growing seedlings before strong root systems form,Crop rotation; fungicide-treated seeds; avoid infected fields,NDVI slow rise; soil temp swings; prior Fusarium presence,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,99
15,corn,emergence(ve),seedling anthracnose,Fungus,High humidity; rain after sowing,Black/brown lesions on coleoptile; weakened shoots,Newly emerged tissues are soft and exposed; rainfall splashes spores onto seedlings,Certified seeds; fungicide seed coats; avoid shallow sowing,Humidity >80%; rainfall events; NDVI low vigor trends,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,7,185
16,corn,emergence(ve),common smut (early infection),Fungus,"Warm, dry → sudden moisture; light soil injury",No visible VE-stage symptoms yet; early internal infection possible,Pathogen enters through wounds on young shoots during emergence,Resistant hybrids; minimize mechanical injury; seed treatment,Humidity shifts; soil damage zones; NDVI uneven emergence,3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,7,57
17,corn,emergence(ve),seed corn maggot,Pest,"Cool, wet soils; recently manured fields",Missing seedlings; weak or delayed emergence,"Larvae feed on seeds before/at VE, reducing stand count",Avoid fresh manure; insecticide-treated seeds; proper soil prep,Pest trap counts; organic matter levels; NDVI gaps in rows,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,181
18,corn,emergence(ve),stewart’s wilt (early beetle transmission),Bacteria,Warm early season; flea beetle activity,"VE seedlings may show slight leaf streaking later, but infection begins now",Young shoots are tender; flea beetles transmit bacteria during feeding,Control beetles; resistant varieties; insecticidal seed treatment,Beetle counts; warm weather patterns; initial NDVI suppression,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,212
19,corn,seedling stage,seedling blight,"Fungus (Fusarium spp., Pythium spp.)","Cool–wet soils, high soil moisture, fluctuating temperatures","Pale or brown roots, weak seedlings, stunted emergence","Seedling roots are still shallow and soft, making them easy targets for soil fungi","Treat seeds with broad-spectrum fungicides, avoid waterlogging, ensure good soil drainage","Soil moisture >70%, NDVI stagnation in rows, soil temperature <15°C",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,186
20,corn,seedling stage,damping-off,"Fungus (Pythium, Rhizoctonia)","Wet soils, humidity >80%, cool nights","Sudden collapse of emerging seedlings, rotting at stem base",Pathogens attack soft stem tissues before full root establishment,"Use resistant seed, maintain proper spacing, avoid over-irrigation","Soil humidity trends, rainfall forecasts, early seedling deaths in patches",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,32,78
21,corn,seedling stage,stewart’s wilt,Bacteria (Pantoea stewartii),"Warm, humid conditions with high flea beetle activity","Yellow streaks on young leaves, wilting in young plants",Seedlings easily infected through insect wounds,"Control flea beetles, remove infected debris from previous crop","Flea beetle count, rising temperatures >20°C, localized leaf streaking",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,32,211
22,corn,seedling stage,maize chlorotic mottle virus (mcmv),Virus,"Warm climate, high population of thrips/beetles",Yellow mottling or chlorotic patches on young leaves,"Seedlings have immature immune response, making viral infection more severe","Certified virus-free seeds, weed control, vector management","Thrips count, sudden chlorosis in NDVI maps, warm dry spells increasing vector movement",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,129
23,corn,seedling stage,southern corn leaf blight,Fungus (Bipolaris maydis),"Warm (20–28°C), moist environment","Tan lesions on lower leaves, early leaf blight",Young leaves are tender and pathogen can establish rapidly,"Use resistant hybrids, ensure good airflow, avoid overhead irrigation","Leaf wetness duration, humidity >85%, appearance of small lesions in clusters",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,195
24,corn,seedling stage,gray leaf spot,Fungus (Cercospora zeae-maydis),"High humidity, long leaf wetness periods, warm weather",Narrow chlorotic streaks on young leaves,Pathogen establishes early on juvenile leaf tissue,"Residue management, crop rotation, maintain field sanitation","Weather favorability index (humid + warm), early streaks on lower leaves",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,32,114
25,corn,seedling stage,rootworm injury,Pest (Diabrotica spp.),"Warm soils, continuous maize cropping","Stunted plants, poor root anchoring, uneven emergence",Larvae feed heavily on young roots at this stage,"Crop rotation, seed insecticide treatment, pheromone traps","Rootworm trap count, soil temperature >12°C, uneven stand emergence",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,176
26,corn,seedling stage,cutworm damage,Pest,Cool–moist soil with abundant weeds,"Cut stems near soil line, missing seedlings in rows",Seedlings are soft and easily cut by larvae feeding at night,"Remove weeds before sowing, apply insecticidal soil treatment","Night-time pheromone trap counts, weed cover percentage",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,77
27,corn,seedling stage,"nematode injury (lesion, root-knot)",Nematode,"Warm, sandy soils; monocropping","Poor seedling vigor, reduced root mass, leaf yellowing",Nematodes attack early roots before branching strengthens,"Soil solarization, crop rotation, organic amendments","Soil nematode assays, patchy NDVI decline, sandy soil hotspots",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,140
28,corn,vegetative (v1–vn),northern corn leaf blight (nclb),Fungus (Exserohilum turcicum),"Moderate temps (18–27°C), prolonged leaf wetness, high humidity",Long cigar-shaped gray-green lesions on lower leaves,"Dense canopy begins forming, promoting leaf wetness and infection","Use resistant hybrids, ensure good row spacing, timely fungicide spray if needed","Leaf wetness >10 hrs, humidity >85%, early lesion detection on lower canopy",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,33,142
29,corn,vegetative (v1–vn),gray leaf spot (gls),Fungus (Cercospora zeae-maydis),"Warm (25–30°C), humid, low airflow",Narrow rectangular lesions between veins,Leaf expansion increases surface area for pathogen infection,"Crop residue management, hybrid resistance, fungicide at threshold","Humidity spikes, hot–humid days, NDVI drop in streaks",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,33,116
30,corn,vegetative (v1–vn),common rust,Fungus (Puccinia sorghi),"Cool to moderate temps (15–25°C), high humidity",Small cinnamon-brown pustules on upper leaf surface,Young leaves rapidly expand and are highly susceptible,"Use resistant varieties, avoid planting near infected fields","Weather favorability index for rust, spore trap data, early rust spots",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,33,53
31,corn,vegetative (v1–vn),southern corn leaf blight,Fungus (Bipolaris maydis),"Warm (20–28°C), moist conditions",Tan lesions with reddish borders on leaves,Vegetative leaves are tender and pathogen colonizes easily,"Residue decomposition, resistant hybrids, timely sprays","Leaf wetness duration, humidity >80%, patch-based NDVI loss",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,195
32,corn,vegetative (v1–vn),anthracnose leaf blight,Fungus (Colletotrichum graminicola),Warm & humid environments,Oval water-soaked lesions with yellow halos on leaves,Rapid leaf growth + shaded lower canopy enhances infection,"Balanced nitrogen, residue management, fungicide if severe","Rainfall patterns, shaded canopy zones, early lesion mapping",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,33,12
33,corn,vegetative (v1–vn),maize dwarf mosaic virus (mdmv),Virus,"Warm weather, high aphid activity","Mosaic, mottling, yellow streaks on leaves",Growing leaves are tender and aphids transmit virus easily,"Control aphids, remove grassy weeds, use virus-free seed","Aphid population, sudden NDVI fluctuations, warm dry spells",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,131
34,corn,vegetative (v1–vn),corn leaf aphid infestation,Pest,Hot dry weather,"Leaves curl, shiny honeydew deposits, stunted growth",Aphids colonize fast during vegetative growth when plants are tender,"Neem oil, insecticidal soaps, natural predators","Aphid count per leaf, temperature >28°C, honeydew detection",3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,2,33,67
35,corn,vegetative (v1–vn),fall armyworm,Pest,"Warm & humid, cloudy weather","Window-pane feeding, ragged leaves, frass in whorl",Whorl stage (V3–V6) provides shelter for larvae,"Feromone traps, timely insecticide, intercropping","FAW trap count, frass detection in whorls, NDVI drops in patches",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,33,87
36,corn,vegetative (v1–vn),corn rootworm (adult feeding),Pest,Warm temperatures,Scarring on leaves from adult beetle feeding,Beetles emerge early during vegetative stage,"Crop rotation, bait traps, resistant hybrids","Adult beetle trap counts, soil temperature >20°C",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,69
37,corn,vegetative (v1–vn),"nematode injury (lesion, root-knot)",Nematode,"Warm sandy soils, dry spells","Stunted, uneven growth, mild leaf yellowing",Roots expand rapidly during vegetative stage; nematodes hinder nutrient uptake,"Crop rotation, organic matter improvement, nematicides","Soil nematode sampling, patchy NDVI decline, sandy soil hotspots",3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,33,141
38,corn,tasseling,northern corn leaf blight (nclb),Fungus,"Moderate temps (18–27°C), long leaf wetness, high humidity",Elongated cigar-shaped lesions spreading to upper canopy,Dense canopy + tassel humidity allow rapid fungal spread,"Apply fungicide at VT stage, use resistant hybrids","Canopy humidity >85%, early lesions in upper leaves, NDVI banding",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,29,142
39,corn,tasseling,gray leaf spot (gls),Fungus,"Warm (25–30°C), humid, low airflow",Narrow rectangular lesions approaching the ear leaf,VT is peak susceptibility—ear leaf critical for grain formation,"Fungicide at VT–R1, rotate crops, residue breakdown","Leaf wetness >12 hrs, hot-humid days, lesion expansion rate",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,29,116
40,corn,tasseling,common rust,Fungus,"Moderate temps (15–25°C), moist nights","Pustules increase on upper canopy, reducing photosynthesis",Peak leaf area during VT increases impact of rust,"Use resistant varieties, consider fungicide if threshold exceeded","Spore trap data, humidity spikes, NDVI reduction on upper leaves",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,53
41,corn,tasseling,southern rust,Fungus (Puccinia polysora),"Hot (28–32°C), humid, cloudy",Orange raised pustules on upper leaf surfaces,Southern rust cycles rapidly during VT → ear leaf damage,"Immediate fungicide if detected, hybrid resistance","Hot–humid weather alerts, rapid pustule increase",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,29,198
42,corn,tasseling,anthracnose leaf blight,Fungus,Warm humid climate,"Dark lesions on top leaves, possible stalk surface infection",Tasseling creates microclimate for infection inside canopy,"Remove residues, resistant hybrids, balanced fertilization","Humidity >90%, rainfall, canopy temperature variability",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,29,12
43,corn,tasseling,tar spot,Fungus (Phyllachora maydis),"Cool–humid, prolonged leaf wetness","Black raised stromata on leaves, rapid blighting",VT–R2 is the highest risk window for tar spot outbreaks,"Fungicide (VT timing), residue management","Leaf wetness >10 hrs, tar spot advisories, canopy infection hotspots",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,29,223
44,corn,tasseling,corn smut,Fungus (Ustilago maydis),"Warm (25–30°C), mechanical injury, dry–wet alternation","Galls may appear on tassels, ears, or stalk nodes",Rapid tissue elongation during VT makes infection easier,"Avoid field injury, use resistant hybrids","Field injury events, NDVI anomalies in tassel zone",3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,29,70
45,corn,tasseling,maize dwarf mosaic virus,Virus,"Warm climate, aphid activity",Mosaic and mottling on upper canopy leaves,VT coincides with high aphid movement,"Control aphids, remove grassy weeds","Aphid count per leaf, weather patterns favoring vectors",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,130
46,corn,tasseling,corn earworm (pre-silking feeding),Pest,"Warm, dry nights",Feeding on tassels and upper leaves,Moths arrive at VT before silks emerge,"Pheromone traps, timely insecticide","Moth trap counts, rising nighttime temps",3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,29,63
47,corn,tasseling,fall armyworm,Pest,"Humid, cloudy, warm","Ragged feeding on tassels, frass inside whorls",Transition from vegetative to reproductive stage exposes new tissue,"FAW pheromone traps, recommended insecticides","FAW trap pressure, cloudy warm weather",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,29,87
48,corn,tasseling,corn leaf aphid,Pest,"Hot, dry conditions","Heavy colonies on tassels, honeydew on leaves",Tassels attract aphids due to exposed tender tissue,"Use natural predators, neem, insecticidal soaps","Aphid count, honeydew reflectance on NDVI",3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,2,29,65
49,corn,tasseling,stalk rot (early infection),Fungus/Bacteria,Warm wet soils following drought stress,Slight wilting/blight in upper canopy,VT stress predisposes plants to later stalk rot,"Avoid drought stress, balanced N and K","Soil moisture dips then spikes, early wilting patches",3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,29,205
50,corn,silking (r1),common rust (puccinia sorghi),Fungus,"Moderate temperatures (16–25°C), high humidity, leaf wetness",Small cinnamon-brown pustules on upper leaves; rapid spread during silking,"Silks and upper canopy stay moist, enabling spore germination","Plant resistant hybrids, maintain spacing, avoid overhead irrigation","Sudden NDVI decline in upper canopy, RH > 70%, prolonged leaf wetness",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,26,54
51,corn,silking (r1),northern corn leaf blight (nclb) (exserohilum turcicum),Fungus,"Cool–moderate temps (18–27°C), high humidity, cloudy weather",Gray-green elliptical lesions that expand during silking,Silking keeps canopy closed → high humidity trapping,"Resistant hybrids, crop rotation, timely fungicide near R1","NDVI striping, humidity > 90%, >10 hours leaf wetness",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,26,143
52,corn,silking (r1),southern corn leaf blight (sclb) (bipolaris maydis),Fungus,"Warm (24–32°C), humid spells","Tan, elongated lesions with dark margins; rapid expansion","Silks attract moisture, warm humid period boosts fungal sporulation","Resistant hybrids, balanced nitrogen, remove infected debris","Rapid NDVI fall in lower/mid canopy, leaf wetness > 8 hrs",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,26,197
53,corn,silking (r1),gray leaf spot (cercospora zeae-maydis),Fungus,"High humidity, warm temps (25–30°C), stagnant air",Rectangular narrow lesions parallel to veins,Dense canopy during silking creates a favorable microclimate,"Avoid dense planting, improve airflow, preventive fungicide","Humidity spikes > 90%, slow NDVI drop along leaf veins",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,26,115
54,corn,silking (r1),anthracnose leaf blight (colletotrichum graminicola),Fungus,"Warm wet weather, frequent rains",Water-soaked spots turning tan with dark borders,R1 stage has high nutrient flow to ears → tissue stress,"Rotate crops, maintain potassium, apply fungicide if severe",NDVI reduction in lower canopy; soil moisture > 60%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,13
55,corn,silking (r1),fusarium ear rot (fusarium verticillioides),Fungus,Warm dry–humid alternating conditions,Silks may show early pink/white mold near entry point,Silks are exposed pathways for fungal spores,"Timely silking irrigation, avoid insect injury, clean seeds","Weather oscillation dry↔humid, insect bite count on silks",3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,26,95
56,corn,silking (r1),aspergillus ear rot (aspergillus flavus),Fungus,"Hot (>30°C), dry stress before and during silking",Yellow-green powdery mold at silk channel,High heat + drought weakens silks allowing infection,"Avoid drought stress, maintain irrigation, crop residue management","High canopy temperature from thermal imaging, soil moisture < 20%",3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,2,26,27
57,corn,silking (r1),corn smut (ustilago maydis),Fungus,"Warm (20–30°C), wounds, high nitrogen",Small galls forming on silks or ear shoots,Silking wounds and rapid growth make tissues susceptible,"Balanced N fertilizer, avoid mechanical injury","Sudden swelling on tissues, pest damage count",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,72
58,corn,silking (r1),stewart’s wilt (pantoea stewartii),Bacteria,"Warm winters, warm humid summers; high flea beetle activity",Water-soaked lesions turning pale yellow; streaks along veins,Silks attract flea beetles which transmit bacteria,"Manage flea beetles, resistant hybrids, avoid early stress","Beetle trap counts, humid warm spells, NDVI streaks",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,26,214
59,corn,silking (r1),corn earworm infestation (helicoverpa zea),Pest,"Warm weather, high night temperatures","Chewed silks, frass at tips, poor kernel fill",Silking is prime feeding site for larvae,"Timely insecticide spray, pheromone traps, avoid late planting","Pheromone trap count > threshold, silk clipping rate",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,64
60,corn,silking (r1),root-knot nematodes (meloidogyne spp.),Nematode,"Warm soils > 25°C, sandy soils","Stunted plants, poor ear fill visible later; early subtle yellowing",High nutrient demand at silking stresses roots,"Nematicides, crop rotation, organic matter improvement","Soil moisture anomalies, stunted NDVI patches",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,175
61,corn,flowering,common rust (puccinia sorghi),Fungus,"Cool–moderate temps (16–25°C), high humidity, leaf wetness","Brown to orange pustules on leaves, rapid spread during flowering","Flowering keeps canopy humid, aiding spore germination","Resistant hybrids, proper spacing, avoid overhead irrigation","NDVI decline in upper canopy, RH > 70%, extended leaf wetness",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,8,54
62,corn,flowering,northern corn leaf blight (nclb) (exserohilum turcicum),Fungus,"Cool–moderate temps (18–27°C), cloudy and humid",Long gray-green lesions that spread quickly,Dense canopy at flowering traps humidity,"Use resistant varieties, crop rotation, fungicide near R1","Humidity > 90%, >10 hrs leaf wetness, NDVI striping",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,8,143
63,corn,flowering,southern corn leaf blight (sclb) (bipolaris maydis),Fungus,"Warm (24–32°C), humid spells","Tan, elongated lesions, dark borders",Nutrient stress + moisture increase risk at flowering,"Balanced nitrogen, remove residue, resistant hybrids","NDVI fall mid-canopy, leaf wetness > 8 hrs",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,8,197
64,corn,flowering,gray leaf spot (cercospora zeae-maydis),Fungus,"Warm (25–30°C), high humidity, low airflow",Narrow rectangular lesions aligned with veins,Flowering forms a dense canopy → ideal microclimate,"Increase airflow, avoid dense planting, apply fungicide if needed","RH > 90%, lesion expansion along veins, satellite humidity spikes",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,8,115
65,corn,flowering,anthracnose leaf blight (colletotrichum graminicola),Fungus,"Warm wet weather, frequent rains",Water-soaked spots turning brown/black,High carbohydrate movement makes leaves sensitive,"Maintain potassium, rotate crops, fungicide if severe","Lower-canopy NDVI decrease, soil moisture > 60%",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,13
66,corn,flowering,fusarium ear rot (fusarium verticillioides),Fungus,Alternating dry–humid cycles,Early infection through silks; white to pink fungal growth,Flower silks are open infection pathways,"Maintain irrigation, control insects, clean seed","High temp–humidity oscillation, insect silk damage",3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,2,8,95
67,corn,flowering,aspergillus ear rot (aspergillus flavus),Fungus,"Hot (>30°C), drought stress",Yellow-green powder near silk entry,Heat + drought weaken silk defenses,"Adequate irrigation, residue management","Thermal stress maps, soil moisture < 20%",3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,2,8,27
68,corn,flowering,corn smut (ustilago maydis),Fungus,"Warm (20–30°C), high N, wounded tissue","Initial small galls on ears, tassels, silks",Manually tender tissues easily infected,"Avoid mechanical injury, balanced N","Swellings on tissues, pest injury count",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,72
69,corn,flowering,stewart’s wilt (pantoea stewartii),Bacteria,Warm humid summer with high flea beetle population,"Pale green streaks on leaves, wilting in severe cases",Insect vectors peak during flowering,"Flea beetle control, resistant hybrids","Beetle trap counts, NDVI streaking",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,8,214
70,corn,flowering,corn earworm (helicoverpa zea),Pest,"Warm nights, high temperatures","Silk clipping, frass, entry holes",Silks are prime feeding site,"Pheromone traps, timely insecticide","Trap count > threshold, silk damage %",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,61
71,corn,flowering,root-knot nematodes (meloidogyne spp.),Nematode,"Warm soil > 25°C, sandy soils","Early yellowing, uneven growth (poor ear fill later)",High nutrient demand stresses weak roots,"Crop rotation, nematicides, organic matter","NDVI patchiness, soil moisture irregularities",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,175
72,corn,blister (r2),fusarium ear rot (fusarium verticillioides),Fungus,"Warm (25–30°C), high humidity followed by dry spells",White to pink fungal growth at the tip; kernels appear water-soaked,"Blister kernels have soft pericarp, easy fungal entry","Maintain irrigation, prevent insect damage, clean seed","Alternating humid–dry cycles, insect silk damage, NDVI dip at ear zone",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,95
73,corn,blister (r2),aspergillus ear rot (aspergillus flavus),Fungus,"Hot (>32°C), drought stress",Yellow-green mold at the tip; shriveled blister kernels,High heat causes kernel shrinkage → weak defense,"Reduce drought stress, timely irrigation","Thermal hotspots, soil moisture < 25%, canopy temp rise",3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,2,0,27
74,corn,blister (r2),diplodia ear rot (stenocarpella maydis),Fungus,Cool–wet weather during/after flowering,White mold between kernels; husk turning brown,"R2 kernels have high moisture, ideal for mold growth","Avoid residue buildup, rotate crops, fungicide if needed","High humidity > 90%, NDVI decline on ear zone",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,83
