Crop,Stage,Disease Name,Pathogen Type , Favorable Weather Conditions ,Symptoms at This Stage ,Why This Stage is Vulnerable ,Preventive Measures ,Monitoring Indicators 
corn,seedling stage,Seedling Blight,"Fungus (Fusarium spp., Pythium spp.)","Cool–wet soils, high soil moisture, fluctuating temperatures","Pale or brown roots, weak seedlings, stunted emergence","Seedling roots are still shallow and soft, making them easy targets for soil fungi","Treat seeds with broad-spectrum fungicides, avoid waterlogging, ensure good soil drainage","Soil moisture >70%, NDVI stagnation in rows, soil temperature <15°C"
corn,seedling stage,Damping-Off,"Fungus (Pythium, Rhizoctonia)","Wet soils, humidity >80%, cool nights","Sudden collapse of emerging seedlings, rotting at stem base",Pathogens attack soft stem tissues before full root establishment,"Use resistant seed, maintain proper spacing, avoid over-irrigation","Soil humidity trends, rainfall forecasts, early seedling deaths in patches"
corn,seedling stage,Stewart’s Wilt,Bacteria (Pantoea stewartii),"Warm, humid conditions with high flea beetle activity","Yellow streaks on young leaves, wilting in young plants",Seedlings easily infected through insect wounds,"Control flea beetles, remove infected debris from previous crop","Flea beetle count, rising temperatures >20°C, localized leaf streaking"
corn,seedling stage,Maize Chlorotic Mottle Virus (MCMV),Virus,"Warm climate, high population of thrips/beetles",Yellow mottling or chlorotic patches on young leaves,"Seedlings have immature immune response, making viral infection more severe","Certified virus-free seeds, weed control, vector management","Thrips count, sudden chlorosis in NDVI maps, warm dry spells increasing vector movement"
corn,seedling stage,Southern Corn Leaf Blight,Fungus (Bipolaris maydis),"Warm (20–28°C), moist environment","Tan lesions on lower leaves, early leaf blight",Young leaves are tender and pathogen can establish rapidly,"Use resistant hybrids, ensure good airflow, avoid overhead irrigation","Leaf wetness duration, humidity >85%, appearance of small lesions in clusters"
corn,seedling stage,Gray Leaf Spot,Fungus (Cercospora zeae-maydis),"High humidity, long leaf wetness periods, warm weather",Narrow chlorotic streaks on young leaves,Pathogen establishes early on juvenile leaf tissue,"Residue management, crop rotation, maintain field sanitation","Weather favorability index (humid + warm), early streaks on lower leaves"
corn,seedling stage,Rootworm Injury,Pest (Diabrotica spp.),"Warm soils, continuous maize cropping","Stunted plants, poor root anchoring, uneven emergence",Larvae feed heavily on young roots at this stage,"Crop rotation, seed insecticide treatment, pheromone traps","Rootworm trap count, soil temperature >12°C, uneven stand emergence"
corn,seedling stage,Cutworm Damage,Pest,Cool–moist soil with abundant weeds,"Cut stems near soil line, missing seedlings in rows",Seedlings are soft and easily cut by larvae feeding at night,"Remove weeds before sowing, apply insecticidal soil treatment","Night-time pheromone trap counts, weed cover percentage"
corn,seedling stage,"Nematode Injury (Lesion, Root-Knot)",Nematode,"Warm, sandy soils; monocropping","Poor seedling vigor, reduced root mass, leaf yellowing",Nematodes attack early roots before branching strengthens,"Soil solarization, crop rotation, organic amendments","Soil nematode assays, patchy NDVI decline, sandy soil hotspots"
corn,vegetative (V1–Vn),Northern Corn Leaf Blight (NCLB),Fungus (Exserohilum turcicum),"Moderate temps (18–27°C), prolonged leaf wetness, high humidity",Long cigar-shaped gray-green lesions on lower leaves,"Dense canopy begins forming, promoting leaf wetness and infection","Use resistant hybrids, ensure good row spacing, timely fungicide spray if needed","Leaf wetness >10 hrs, humidity >85%, early lesion detection on lower canopy"
corn,vegetative (V1–Vn),Gray Leaf Spot (GLS),Fungus (Cercospora zeae-maydis),"Warm (25–30°C), humid, low airflow",Narrow rectangular lesions between veins,Leaf expansion increases surface area for pathogen infection,"Crop residue management, hybrid resistance, fungicide at threshold","Humidity spikes, hot–humid days, NDVI drop in streaks"
corn,vegetative (V1–Vn),Common Rust,Fungus (Puccinia sorghi),"Cool to moderate temps (15–25°C), high humidity",Small cinnamon-brown pustules on upper leaf surface,Young leaves rapidly expand and are highly susceptible,"Use resistant varieties, avoid planting near infected fields","Weather favorability index for rust, spore trap data, early rust spots"
corn,vegetative (V1–Vn),Southern Corn Leaf Blight,Fungus (Bipolaris maydis),"Warm (20–28°C), moist conditions",Tan lesions with reddish borders on leaves,Vegetative leaves are tender and pathogen colonizes easily,"Residue decomposition, resistant hybrids, timely sprays","Leaf wetness duration, humidity >80%, patch-based NDVI loss"
corn,vegetative (V1–Vn),Anthracnose Leaf Blight,Fungus (Colletotrichum graminicola),Warm & humid environments,Oval water-soaked lesions with yellow halos on leaves,Rapid leaf growth + shaded lower canopy enhances infection,"Balanced nitrogen, residue management, fungicide if severe","Rainfall patterns, shaded canopy zones, early lesion mapping"
corn,vegetative (V1–Vn),Maize Dwarf Mosaic Virus (MDMV),Virus,"Warm weather, high aphid activity","Mosaic, mottling, yellow streaks on leaves",Growing leaves are tender and aphids transmit virus easily,"Control aphids, remove grassy weeds, use virus-free seed","Aphid population, sudden NDVI fluctuations, warm dry spells"
corn,vegetative (V1–Vn),Corn Leaf Aphid Infestation,Pest,Hot dry weather,"Leaves curl, shiny honeydew deposits, stunted growth",Aphids colonize fast during vegetative growth when plants are tender,"Neem oil, insecticidal soaps, natural predators","Aphid count per leaf, temperature >28°C, honeydew detection"
corn,vegetative (V1–Vn),Fall Armyworm,Pest,"Warm & humid, cloudy weather","Window-pane feeding, ragged leaves, frass in whorl",Whorl stage (V3–V6) provides shelter for larvae,"Feromone traps, timely insecticide, intercropping","FAW trap count, frass detection in whorls, NDVI drops in patches"
corn,vegetative (V1–Vn),Corn Rootworm (Adult Feeding),Pest,Warm temperatures,Scarring on leaves from adult beetle feeding,Beetles emerge early during vegetative stage,"Crop rotation, bait traps, resistant hybrids","Adult beetle trap counts, soil temperature >20°C"
corn,vegetative (V1–Vn),"Nematode Injury (Lesion, Root-knot)",Nematode,"Warm sandy soils, dry spells","Stunted, uneven growth, mild leaf yellowing",Roots expand rapidly during vegetative stage; nematodes hinder nutrient uptake,"Crop rotation, organic matter improvement, nematicides","Soil nematode sampling, patchy NDVI decline, sandy soil hotspots"
corn,Tasseling,Northern Corn Leaf Blight (NCLB),Fungus,"Moderate temps (18–27°C), long leaf wetness, high humidity",Elongated cigar-shaped lesions spreading to upper canopy,Dense canopy + tassel humidity allow rapid fungal spread,"Apply fungicide at VT stage, use resistant hybrids","Canopy humidity >85%, early lesions in upper leaves, NDVI banding"
corn,Tasseling,Gray Leaf Spot (GLS),Fungus,"Warm (25–30°C), humid, low airflow",Narrow rectangular lesions approaching the ear leaf,VT is peak susceptibility—ear leaf critical for grain formation,"Fungicide at VT–R1, rotate crops, residue breakdown","Leaf wetness >12 hrs, hot-humid days, lesion expansion rate"
corn,Tasseling,Common Rust,Fungus,"Moderate temps (15–25°C), moist nights","Pustules increase on upper canopy, reducing photosynthesis",Peak leaf area during VT increases impact of rust,"Use resistant varieties, consider fungicide if threshold exceeded","Spore trap data, humidity spikes, NDVI reduction on upper leaves"
corn,Tasseling,Southern Rust,Fungus (Puccinia polysora),"Hot (28–32°C), humid, cloudy",Orange raised pustules on upper leaf surfaces,Southern rust cycles rapidly during VT → ear leaf damage,"Immediate fungicide if detected, hybrid resistance","Hot–humid weather alerts, rapid pustule increase"
corn,Tasseling,Anthracnose Leaf Blight,Fungus,Warm humid climate,"Dark lesions on top leaves, possible stalk surface infection",Tasseling creates microclimate for infection inside canopy,"Remove residues, resistant hybrids, balanced fertilization","Humidity >90%, rainfall, canopy temperature variability"
corn,Tasseling,Tar Spot,Fungus (Phyllachora maydis),"Cool–humid, prolonged leaf wetness","Black raised stromata on leaves, rapid blighting",VT–R2 is the highest risk window for tar spot outbreaks,"Fungicide (VT timing), residue management","Leaf wetness >10 hrs, tar spot advisories, canopy infection hotspots"
corn,Tasseling,Corn Smut,Fungus (Ustilago maydis),"Warm (25–30°C), mechanical injury, dry–wet alternation","Galls may appear on tassels, ears, or stalk nodes",Rapid tissue elongation during VT makes infection easier,"Avoid field injury, use resistant hybrids","Field injury events, NDVI anomalies in tassel zone"
corn,Tasseling,Maize Dwarf Mosaic Virus,Virus,"Warm climate, aphid activity",Mosaic and mottling on upper canopy leaves,VT coincides with high aphid movement,"Control aphids, remove grassy weeds","Aphid count per leaf, weather patterns favoring vectors"
corn,Tasseling,Corn Earworm (pre-silking feeding),Pest,"Warm, dry nights",Feeding on tassels and upper leaves,Moths arrive at VT before silks emerge,"Pheromone traps, timely insecticide","Moth trap counts, rising nighttime temps"
corn,Tasseling,Fall Armyworm,Pest,"Humid, cloudy, warm","Ragged feeding on tassels, frass inside whorls",Transition from vegetative to reproductive stage exposes new tissue,"FAW pheromone traps, recommended insecticides","FAW trap pressure, cloudy warm weather"
corn,Tasseling,Corn Leaf Aphid,Pest,"Hot, dry conditions","Heavy colonies on tassels, honeydew on leaves",Tassels attract aphids due to exposed tender tissue,"Use natural predators, neem, insecticidal soaps","Aphid count, honeydew reflectance on NDVI"
corn,Tasseling,Stalk Rot (Early Infection),Fungus/Bacteria,Warm wet soils following drought stress,Slight wilting/blight in upper canopy,VT stress predisposes plants to later stalk rot,"Avoid drought stress, balanced N and K","Soil moisture dips then spikes, early wilting patches"
corn,Silking (R1),Common Rust (Puccinia sorghi),Fungus,"Moderate temperatures (16–25°C), high humidity, leaf wetness",Small cinnamon-brown pustules on upper leaves; rapid spread during silking,"Silks and upper canopy stay moist, enabling spore germination","Plant resistant hybrids, maintain spacing, avoid overhead irrigation","Sudden NDVI decline in upper canopy, RH > 70%, prolonged leaf wetness"
corn,Silking (R1),Northern Corn Leaf Blight (NCLB) (Exserohilum turcicum),Fungus,"Cool–moderate temps (18–27°C), high humidity, cloudy weather",Gray-green elliptical lesions that expand during silking,Silking keeps canopy closed → high humidity trapping,"Resistant hybrids, crop rotation, timely fungicide near R1","NDVI striping, humidity > 90%, >10 hours leaf wetness"
corn,Silking (R1),Southern Corn Leaf Blight (SCLB) (Bipolaris maydis),Fungus,"Warm (24–32°C), humid spells","Tan, elongated lesions with dark margins; rapid expansion","Silks attract moisture, warm humid period boosts fungal sporulation","Resistant hybrids, balanced nitrogen, remove infected debris","Rapid NDVI fall in lower/mid canopy, leaf wetness > 8 hrs"
corn,Silking (R1),Gray Leaf Spot (Cercospora zeae-maydis),Fungus,"High humidity, warm temps (25–30°C), stagnant air",Rectangular narrow lesions parallel to veins,Dense canopy during silking creates a favorable microclimate,"Avoid dense planting, improve airflow, preventive fungicide","Humidity spikes > 90%, slow NDVI drop along leaf veins"
corn,Silking (R1),Anthracnose Leaf Blight (Colletotrichum graminicola),Fungus,"Warm wet weather, frequent rains",Water-soaked spots turning tan with dark borders,R1 stage has high nutrient flow to ears → tissue stress,"Rotate crops, maintain potassium, apply fungicide if severe",NDVI reduction in lower canopy; soil moisture > 60%
corn,Silking (R1),Fusarium Ear Rot (Fusarium verticillioides),Fungus,Warm dry–humid alternating conditions,Silks may show early pink/white mold near entry point,Silks are exposed pathways for fungal spores,"Timely silking irrigation, avoid insect injury, clean seeds","Weather oscillation dry↔humid, insect bite count on silks"
corn,Silking (R1),Aspergillus Ear Rot (Aspergillus flavus),Fungus,"Hot (>30°C), dry stress before and during silking",Yellow-green powdery mold at silk channel,High heat + drought weakens silks allowing infection,"Avoid drought stress, maintain irrigation, crop residue management","High canopy temperature from thermal imaging, soil moisture < 20%"
corn,Silking (R1),Corn Smut (Ustilago maydis),Fungus,"Warm (20–30°C), wounds, high nitrogen",Small galls forming on silks or ear shoots,Silking wounds and rapid growth make tissues susceptible,"Balanced N fertilizer, avoid mechanical injury","Sudden swelling on tissues, pest damage count"
corn,Silking (R1),Stewart’s Wilt (Pantoea stewartii),Bacteria,"Warm winters, warm humid summers; high flea beetle activity",Water-soaked lesions turning pale yellow; streaks along veins,Silks attract flea beetles which transmit bacteria,"Manage flea beetles, resistant hybrids, avoid early stress","Beetle trap counts, humid warm spells, NDVI streaks"
corn,Silking (R1),Corn Earworm Infestation (Helicoverpa zea),Pest,"Warm weather, high night temperatures","Chewed silks, frass at tips, poor kernel fill",Silking is prime feeding site for larvae,"Timely insecticide spray, pheromone traps, avoid late planting","Pheromone trap count > threshold, silk clipping rate"
corn,Silking (R1),Root-Knot Nematodes (Meloidogyne spp.),Nematode,"Warm soils > 25°C, sandy soils","Stunted plants, poor ear fill visible later; early subtle yellowing",High nutrient demand at silking stresses roots,"Nematicides, crop rotation, organic matter improvement","Soil moisture anomalies, stunted NDVI patches"
corn,Flowering,Common Rust (Puccinia sorghi),Fungus,"Cool–moderate temps (16–25°C), high humidity, leaf wetness","Brown to orange pustules on leaves, rapid spread during flowering","Flowering keeps canopy humid, aiding spore germination","Resistant hybrids, proper spacing, avoid overhead irrigation","NDVI decline in upper canopy, RH > 70%, extended leaf wetness"
corn,Flowering,Northern Corn Leaf Blight (NCLB) (Exserohilum turcicum),Fungus,"Cool–moderate temps (18–27°C), cloudy and humid",Long gray-green lesions that spread quickly,Dense canopy at flowering traps humidity,"Use resistant varieties, crop rotation, fungicide near R1","Humidity > 90%, >10 hrs leaf wetness, NDVI striping"
corn,Flowering,Southern Corn Leaf Blight (SCLB) (Bipolaris maydis),Fungus,"Warm (24–32°C), humid spells","Tan, elongated lesions, dark borders",Nutrient stress + moisture increase risk at flowering,"Balanced nitrogen, remove residue, resistant hybrids","NDVI fall mid-canopy, leaf wetness > 8 hrs"
corn,Flowering,Gray Leaf Spot (Cercospora zeae-maydis),Fungus,"Warm (25–30°C), high humidity, low airflow",Narrow rectangular lesions aligned with veins,Flowering forms a dense canopy → ideal microclimate,"Increase airflow, avoid dense planting, apply fungicide if needed","RH > 90%, lesion expansion along veins, satellite humidity spikes"
corn,Flowering,Anthracnose Leaf Blight (Colletotrichum graminicola),Fungus,"Warm wet weather, frequent rains",Water-soaked spots turning brown/black,High carbohydrate movement makes leaves sensitive,"Maintain potassium, rotate crops, fungicide if severe","Lower-canopy NDVI decrease, soil moisture > 60%"
corn,Flowering,Fusarium Ear Rot (Fusarium verticillioides),Fungus,Alternating dry–humid cycles,Early infection through silks; white to pink fungal growth,Flower silks are open infection pathways,"Maintain irrigation, control insects, clean seed","High temp–humidity oscillation, insect silk damage"
corn,Flowering,Aspergillus Ear Rot (Aspergillus flavus),Fungus,"Hot (>30°C), drought stress",Yellow-green powder near silk entry,Heat + drought weaken silk defenses,"Adequate irrigation, residue management","Thermal stress maps, soil moisture < 20%"
corn,Flowering,Corn Smut (Ustilago maydis),Fungus,"Warm (20–30°C), high N, wounded tissue","Initial small galls on ears, tassels, silks",Manually tender tissues easily infected,"Avoid mechanical injury, balanced N","Swellings on tissues, pest injury count"
corn,Flowering,Stewart’s Wilt (Pantoea stewartii),Bacteria,Warm humid summer with high flea beetle population,"Pale green streaks on leaves, wilting in severe cases",Insect vectors peak during flowering,"Flea beetle control, resistant hybrids","Beetle trap counts, NDVI streaking"
corn,Flowering,Corn Earworm (Helicoverpa zea),Pest,"Warm nights, high temperatures","Silk clipping, frass, entry holes",Silks are prime feeding site,"Pheromone traps, timely insecticide","Trap count > threshold, silk damage %"
corn,Flowering,Root-Knot Nematodes (Meloidogyne spp.),Nematode,"Warm soil > 25°C, sandy soils","Early yellowing, uneven growth (poor ear fill later)",High nutrient demand stresses weak roots,"Crop rotation, nematicides, organic matter","NDVI patchiness, soil moisture irregularities"
corn,Blister (R2),Fusarium Ear Rot (Fusarium verticillioides),Fungus,"Warm (25–30°C), high humidity followed by dry spells",White to pink fungal growth at the tip; kernels appear water-soaked,"Blister kernels have soft pericarp, easy fungal entry","Maintain irrigation, prevent insect damage, clean seed","Alternating humid–dry cycles, insect silk damage, NDVI dip at ear zone"
corn,Blister (R2),Aspergillus Ear Rot (Aspergillus flavus),Fungus,"Hot (>32°C), drought stress",Yellow-green mold at the tip; shriveled blister kernels,High heat causes kernel shrinkage → weak defense,"Reduce drought stress, timely irrigation","Thermal hotspots, soil moisture < 25%, canopy temp rise"
corn,Blister (R2),Diplodia Ear Rot (Stenocarpella maydis),Fungus,Cool–wet weather during/after flowering,White mold between kernels; husk turning brown,"R2 kernels have high moisture, ideal for mold growth","Avoid residue buildup, rotate crops, fungicide if needed","High humidity > 90%, NDVI decline on ear zone"
corn,Blister (R2),Gibberella Ear Rot (Fusarium graminearum),Fungus,"Cool (15–20°C), wet weather",Pink–red mold near ear tip; kernels appear pale,High moisture inside husk favors colonization,"Resistant hybrids, proper drainage, fungicide at R1","Wet weather > 48 hrs, humidity spikes, NDVI discoloration"
corn,Blister (R2),Common Rust (Puccinia sorghi),Fungus,"Cool–moderate temps, humid",Orange-brown pustules worsening from R1 → R2,"Canopy still humid, allowing spore explosion","Resistant varieties, spacing for airflow","Leaf wetness > 10 hrs, RH > 70%"
corn,Blister (R2),Gray Leaf Spot (Cercospora zeae-maydis),Fungus,"High humidity, warm temps",Lesions expand toward ear leaf; photosynthesis reduction,Ear leaf is critical at R2 → yields impacted,"Fungicide at VT–R1, maintain airflow","NDVI decline along veins, humidity > 90%"
corn,Blister (R2),Northern Corn Leaf Blight (NCLB),Fungus,"Humid, cool–moderate weather",Long tan lesions; rapid expansion,R2 leaf area crucial → infection reduces grain fill,"Resistant hybrids, fungicide if severe",Leaf-wetness duration > 10 hrs
corn,Blister (R2),Southern Corn Leaf Blight (SCLB),Fungus,"Warm (24–32°C), humid",Tan lesions expand toward ear leaf,Ear leaf stress greatly affects kernel fill,"Balanced N, residue removal","NDVI dip mid-plant, humidity spikes"
corn,Blister (R2),Corn Earworm (Helicoverpa zea),Pest,"Hot, humid nights",Feeding on blister kernels; frass inside husk,Soft R2 kernels easy for larvae to chew,"Pheromone traps, insecticide threshold action","Trap count > threshold, visible ear tip damage"
corn,Blister (R2),Fall Armyworm (Spodoptera frugiperda),Pest,"Warm, humid","Boreholes in husk, chewed kernels",Husks not yet tough at R2 → easy entry,"Early scouting, insecticide if needed","Larval count per ear, leaf tearing near ear"
corn,Blister (R2),Root-Knot Nematodes (Meloidogyne spp.),Nematode,Warm soil > 25°C,"Stunting, poor ear fill as R2 progresses",High nutrient flow required → stressed roots show symptoms,"Crop rotation, organic amendments","NDVI patchiness, soil moisture anomalies"
corn,Milk (R3),Northern Corn Leaf Blight (NCLB),Fungus (Exserohilum turcicum),"High humidity (>90%), leaf wetness, 18–27°C","Long, cigar-shaped grey lesions expanding rapidly",Dense canopy retains moisture; leaves are still photosynthesizing heavily,"Resistant hybrids, early fungicide spray, avoid overhead irrigation","NDVI drop in upper canopy, rising humidity, increased leaf wetness duration"
corn,Milk (R3),Southern Rust,Fungus (Puccinia polysora),"Warm & humid (25–30°C), frequent rainfall",Orange pustules on upper leaf surface; rapid spread,Spores spread fast during warm rains; milk stage is critical for grain fill,"Timely fungicide, resistant varieties","Temperature–humidity spikes, NDVI decline on top leaves, spore count if traps used"
corn,Milk (R3),Gray Leaf Spot,Fungus (Cercospora zeae-maydis),"High humidity, 20–30°C, long dew periods",Narrow rectangular lesions; yellow halo,Milk stage has maximum leaf area → loss impacts grain fill,"Crop rotation, residue management, fungicide","Leaf wetness > 10 hours, NDVI anomalies, canopy humidity"
corn,Milk (R3),Anthracnose Leaf Blight / Stalk Rot,Fungus (Colletotrichum graminicola),Warm wet weather; soil moisture stress later,Top leaves show brown lesions; stalk becomes weak,R3–R4 stage stresses stalk; fungus moves from leaves to stalk,"Balanced fertilizer, avoid plant stress, fungicide at VT–R1","Lodging risk, stalk softness, NDVI patchy decline"
corn,Milk (R3),Fusarium Ear Rot,Fungus (Fusarium verticillioides),"Warm, dry weather during silking then wet conditions",White/pink mold on kernels; scattered infection,Infection occurs through silks which remain susceptible into R3,"Harvest at proper moisture, control insects, resistant hybrids","Kernel moisture, temperature fluctuations, ear rot patches"
corn,Milk (R3),Aspergillus Ear Rot (Aflatoxin),Fungus (Aspergillus flavus),"Hot (>32°C), dry stress",Green-yellow powdery mold on kernels,Drought stress and high temps at R3 increase aflatoxin risk,"Irrigation, reduce plant stress, early harvest","Heatwaves, soil moisture drop, canopy temperature rise"
corn,Milk (R3),Corn Borers (2nd Generation),Pest (Insect),"Warm nights, moderate humidity","Holes in stalk, feeding on shank; ear droppage risk",Pest pressure peaks at R3; soft shank tissue allows entry,"Bt hybrids, pheromone traps, insecticide if threshold crossed","Pest count, pheromone trap captures, leaf damage"
corn,Milk (R3),Fall Armyworm,Pest (Insect),"Warm, humid; cloudy weather","Window-pane feeding on leaves, feeding on developing ears",R3 kernels attract larvae; high damage to husks,"Pheromone traps, insecticides, biological control","Caterpillar count, trap catches, NDVI edge damage"
corn,Milk (R3),Stewart’s Wilt,Bacteria (Pantoea stewartii),"Warm winters + spring, beetle activity","Leaf streaks, wilt in susceptible hybrids",Leaf whorl still active; infection persists,"Control beetle vector (flea beetle), resistant hybrids","Beetle population, temperature patterns"
corn,Milk (R3),Maize Dwarf Mosaic Virus (MDMV),Virus,"Warm weather, presence of aphids","Mosaic patterns, yellow streaks",Aphid pressure remains high during warm R3 conditions,"Aphid control, resistant varieties","Aphid count, NDVI mosaic pattern"
corn,Dough (R4),Fusarium Ear Rot,Fungus (Fusarium verticillioides),Warm–dry conditions followed by humidity,"White to pink fungal growth on kernels, scattered infection",Kernels soft at R4; fungi easily colonize stressed or insect-damaged ears,"Control insects, harvest timely, use resistant hybrids","Kernel moisture, heat stress, NDVI decline near ear zone"
corn,Dough (R4),Gibberella Ear Rot,Fungus (Fusarium graminearum),Cool–wet weather during grain fill,Pinkish-red mold starting at ear tip,Silks remain partially open; cool humid microclimate favors infection,"Crop rotation, fungicide at silking, resistant hybrids","Ear-tip moisture, humidity >90%, rainfall patterns"
